cores,threads,width,height,time
244,1,15620.49,15620.49,1.348817
245,1,15652.47,15652.47,1.363960
246,1,15684.38,15684.38,1.370420
247,1,15716.23,15716.23,1.372534
248,1,15748.01,15748.01,1.383862
249,1,15779.73,15779.73,1.404136
250,1,15811.38,15811.38,1.431625
251,1,15842.97,15842.97,1.388560
252,1,15874.50,15874.50,1.425054
253,1,15905.97,15905.97,1.477882
254,1,15937.37,15937.37,1.668830
255,1,15968.71,15968.71,1.372841
256,1,16000.00,16000.00,1.374281
