cores,threads,width,height,time
213,1,10000,10000,0.653148
214,1,10000,10000,0.662973
215,1,10000,10000,0.649126
216,1,10000,10000,0.642591
217,1,10000,10000,0.733118
218,1,10000,10000,0.844205
219,1,10000,10000,0.751203
220,1,10000,10000,0.677558
221,1,10000,10000,0.677522
222,1,10000,10000,0.765103
223,1,10000,10000,0.660088
224,1,10000,10000,0.629944
225,1,10000,10000,0.625180
226,1,10000,10000,0.616024
227,1,10000,10000,0.628252
228,1,10000,10000,0.628764
229,1,10000,10000,0.618219
230,1,10000,10000,0.603705
231,1,10000,10000,0.603930
232,1,10000,10000,0.603235
233,1,10000,10000,0.612733
234,1,10000,10000,0.610991
235,1,10000,10000,0.611355
236,1,10000,10000,0.593457
237,1,10000,10000,0.610051
238,1,10000,10000,0.596960
239,1,10000,10000,0.598297
240,1,10000,10000,0.595494
241,1,10000,10000,0.591929
242,1,10000,10000,0.577107
243,1,10000,10000,0.581119
244,1,10000,10000,0.579351
245,1,10000,10000,0.590410
246,1,10000,10000,0.579781
247,1,10000,10000,0.576707
248,1,10000,10000,0.576310
249,1,10000,10000,0.574079
250,1,10000,10000,0.568944
251,1,10000,10000,0.576707
252,1,10000,10000,0.573489
253,1,10000,10000,0.572743
254,1,10000,10000,0.570187
255,1,10000,10000,0.563963
256,1,10000,10000,0.575267
