Processes,Size,Latency
2,2,0.57
2,4,0.57
2,8,0.57
2,16,0.57
2,32,0.71
2,64,0.68
2,128,0.79
2,256,0.81
2,512,0.94
2,1024,1.18
2,2048,1.73
2,4096,2.25
2,8192,3.55
2,16384,5.89
2,32768,12.15
2,65536,20.65
2,131072,40.59
2,262144,46.9
2,524288,85.15
2,1048576,169.28
4,2,1.05
4,4,1.12
4,8,1.05
4,16,1.06
4,32,1.2
4,64,1.25
4,128,1.44
4,256,1.41
4,512,1.8
4,1024,2.01
4,2048,2.7
4,4096,3.94
4,8192,6.29
4,16384,10.72
4,32768,18.02
4,65536,34.31
4,131072,64.25
4,262144,112.49
4,524288,233.1
4,1048576,449.24
6,2,1.04
6,4,1.03
6,8,1.02
6,16,1.12
6,32,1.16
6,64,1.34
6,128,1.49
6,256,1.53
6,512,1.67
6,1024,1.97
6,2048,2.58
6,4096,3.98
6,8192,6.74
6,16384,11.35
6,32768,21.44
6,65536,41.88
6,131072,93.91
6,262144,138.9
6,524288,288.31
6,1048576,587.1
8,2,1.23
8,4,1.24
8,8,1.25
8,16,1.32
8,32,1.45
8,64,1.47
8,128,1.72
8,256,1.93
8,512,2.12
8,1024,2.62
8,2048,3.63
8,4096,5.15
8,8192,8.58
8,16384,15.56
8,32768,28.8
8,65536,54.8
8,131072,109.51
8,262144,191.32
8,524288,381.92
8,1048576,750.18
10,2,1.09
10,4,1.08
10,8,1.1
10,16,1.16
10,32,1.29
10,64,1.36
10,128,1.64
10,256,1.7
10,512,1.9
10,1024,2.38
10,2048,3.12
10,4096,4.93
10,8192,8.09
10,16384,15.73
10,32768,29.77
10,65536,60.9
10,131072,140.04
10,262144,236.8
10,524288,444.34
10,1048576,801.51
12,2,1.0
12,4,1.02
12,8,1.02
12,16,1.07
12,32,1.38
12,64,1.23
12,128,1.57
12,256,1.66
12,512,1.91
12,1024,2.28
12,2048,3.29
12,4096,5.31
12,8192,9.57
12,16384,18.68
12,32768,35.87
12,65536,71.9
12,131072,149.76
12,262144,224.17
12,524288,443.26
12,1048576,803.77
14,2,1.03
14,4,1.02
14,8,1.06
14,16,1.14
14,32,1.28
14,64,1.27
14,128,1.6
14,256,1.69
14,512,1.88
14,1024,2.42
14,2048,3.33
14,4096,5.38
14,8192,9.68
14,16384,17.18
14,32768,33.37
14,65536,68.72
14,131072,140.28
14,262144,235.35
14,524288,453.37
14,1048576,895.81
16,2,1.28
16,4,1.24
16,8,1.31
16,16,1.39
16,32,1.63
16,64,1.56
16,128,2.1
16,256,2.07
16,512,2.43
16,1024,2.95
16,2048,3.97
16,4096,6.42
16,8192,11.67
