Processes,Size,Latency
2,2,1.72
2,4,1.73
2,8,1.72
2,16,1.73
2,32,1.82
2,64,2.25
2,128,1.79
2,256,2.4
2,512,2.59
2,1024,2.95
2,2048,3.59
2,4096,4.4
2,8192,5.19
2,16384,6.69
2,32768,8.1
2,65536,12.03
2,131072,17.36
2,262144,27.91
2,524288,49.19
2,1048576,91.67
4,2,0.96
4,4,0.9
4,8,0.94
4,16,0.91
4,32,1.05
4,64,1.37
4,128,1.18
4,256,1.51
4,512,1.7
4,1024,2.13
4,2048,2.01
4,4096,2.82
4,8192,4.7
4,16384,5.2
4,32768,8.72
4,65536,13.67
4,131072,22.39
4,262144,43.23
4,524288,84.08
4,1048576,163.52
6,2,1.88
6,4,1.9
6,8,1.88
6,16,1.87
6,32,2.0
6,64,2.28
6,128,2.17
6,256,2.72
6,512,3.02
6,1024,3.57
6,2048,3.47
6,4096,4.19
6,8192,4.85
6,16384,6.61
6,32768,11.72
6,65536,18.64
6,131072,30.86
6,262144,73.05
6,524288,141.1
6,1048576,272.87
8,2,2.58
8,4,2.62
8,8,2.59
8,16,2.63
8,32,2.68
8,64,3.11
8,128,2.85
8,256,4.04
8,512,4.46
8,1024,5.33
8,2048,4.44
8,4096,4.92
8,8192,6.16
8,16384,9.73
8,32768,13.83
8,65536,22.2
8,131072,39.47
8,262144,135.96
8,524288,268.01
8,1048576,532.97
10,2,4.13
10,4,4.11
10,8,4.11
10,16,4.26
10,32,4.47
10,64,4.97
10,128,4.94
10,256,5.94
10,512,6.32
10,1024,7.39
10,2048,7.09
10,4096,8.26
10,8192,10.04
10,16384,14.39
10,32768,23.14
10,65536,40.03
10,131072,81.27
10,262144,175.25
10,524288,354.02
10,1048576,599.2
12,2,4.11
12,4,4.07
12,8,4.11
12,16,4.17
12,32,4.49
12,64,4.98
12,128,4.94
12,256,6.29
12,512,6.79
12,1024,7.84
12,2048,7.44
12,4096,8.86
12,8192,10.67
12,16384,13.05
12,32768,19.08
12,65536,30.92
12,131072,55.69
12,262144,153.58
12,524288,313.43
12,1048576,641.62
14,2,3.89
14,4,3.84
14,8,3.89
14,16,3.87
14,32,4.11
14,64,4.76
14,128,4.24
14,256,5.73
14,512,6.35
14,1024,7.31
14,2048,6.57
14,4096,8.09
14,8192,10.08
14,16384,12.96
14,32768,18.89
14,65536,30.76
14,131072,55.03
14,262144,182.54
14,524288,338.17
14,1048576,675.29
16,2,4.1
16,4,4.12
16,8,4.13
16,16,4.33
16,32,4.44
16,64,4.99
16,128,4.65
16,256,6.25
16,512,6.79
16,1024,7.92
16,2048,7.03
16,4096,8.44
16,8192,10.76
16,16384,15.84
16,32768,22.84
16,65536,35.03
16,131072,63.79
16,262144,232.02
16,524288,458.11
16,1048576,936.49
18,2,5.37
18,4,5.69
18,8,5.74
18,16,5.52
18,32,5.8
18,64,6.59
18,128,6.79
18,256,8.35
18,512,8.96
18,1024,10.45
18,2048,10.05
18,4096,12.15
18,8192,14.73
18,16384,20.09
18,32768,32.17
18,65536,55.41
18,131072,105.23
18,262144,234.17
18,524288,512.18
18,1048576,883.87
20,2,5.99
20,4,5.93
20,8,6.2
20,16,6.26
20,32,6.36
20,64,7.3
20,128,7.01
20,256,9.14
20,512,9.61
20,1024,11.11
20,2048,10.19
20,4096,11.83
20,8192,14.97
20,16384,19.02
20,32768,25.95
20,65536,39.68
20,131072,79.62
20,262144,190.94
20,524288,401.49
20,1048576,746.98
22,2,6.04
22,4,6.12
22,8,6.1
22,16,6.1
22,32,6.63
22,64,6.83
22,128,7.02
22,256,9.1
22,512,9.59
22,1024,11.25
22,2048,10.24
22,4096,12.0
22,8192,15.61
22,16384,19.54
22,32768,27.57
22,65536,43.17
22,131072,77.48
22,262144,222.42
22,524288,502.8
22,1048576,1034.53
24,2,6.65
24,4,6.76
24,8,6.67
24,16,6.7
24,32,6.98
24,64,7.55
24,128,7.2
24,256,9.57
24,512,10.25
24,1024,11.72
24,2048,10.57
24,4096,12.31
24,8192,15.88
24,16384,21.89
24,32768,30.81
24,65536,47.34
24,131072,87.47
24,262144,302.81
24,524288,612.91
24,1048576,1233.96
26,2,6.87
26,4,6.75
26,8,6.75
26,16,6.77
26,32,7.13
26,64,7.9
26,128,8.57
26,256,10.51
26,512,11.41
26,1024,13.6
26,2048,12.92
26,4096,14.96
26,8192,19.6
26,16384,25.21
26,32768,38.7
26,65536,64.65
26,131072,126.12
26,262144,321.21
26,524288,567.93
26,1048576,1074.98
28,2,7.3
28,4,7.58
28,8,7.59
28,16,7.59
28,32,7.93
28,64,8.88
28,128,8.71
28,256,10.99
28,512,11.88
28,1024,14.02
28,2048,13.12
28,4096,15.3
28,8192,19.98
28,16384,24.81
28,32768,35.1
28,65536,60.95
28,131072,122.95
28,262144,295.81
28,524288,570.14
28,1048576,1118.87
30,2,6.7
30,4,7.11
30,8,7.01
30,16,7.2
30,32,7.39
30,64,8.01
30,128,7.81
30,256,10.45
30,512,11.22
30,1024,13.0
30,2048,12.1
30,4096,14.69
30,8192,18.81
30,16384,25.25
30,32768,39.06
30,65536,54.17
30,131072,131.45
30,262144,304.3
30,524288,619.63
30,1048576,1296.05
32,2,7.54
32,4,7.75
32,8,7.72
32,16,7.75
32,32,8.09
32,64,9.56
32,128,9.61
32,256,12.62
32,512,13.8
32,1024,15.87
32,2048,14.43
32,4096,17.06
32,8192,21.3
32,16384,28.12
32,32768,39.39
32,65536,59.01
32,131072,136.62
32,262144,360.13
32,524288,728.8
32,1048576,1492.2
34,2,9.33
34,4,9.27
34,8,9.26
34,16,9.3
34,32,9.8
34,64,11.28
34,128,11.95
34,256,14.43
34,512,15.49
34,1024,18.02
34,2048,17.08
34,4096,22.45
34,8192,24.68
34,16384,34.17
34,32768,49.43
34,65536,80.81
34,131072,174.28
34,262144,381.04
34,524288,658.58
34,1048576,1245.33
36,2,10.01
36,4,10.03
36,8,9.99
36,16,10.02
36,32,10.48
36,64,12.22
36,128,12.81
36,256,15.78
36,512,17.05
36,1024,19.56
36,2048,18.45
36,4096,23.54
36,8192,25.9
36,16384,31.13
36,32768,42.91
36,65536,70.6
36,131072,149.26
36,262144,344.87
36,524288,692.95
36,1048576,1382.23
38,2,9.31
38,4,9.41
38,8,9.34
38,16,9.38
38,32,9.76
38,64,11.46
38,128,11.78
38,256,15.58
38,512,17.49
38,1024,21.31
38,2048,20.8
38,4096,20.38
38,8192,24.97
38,16384,31.95
38,32768,44.24
38,65536,66.96
38,131072,153.75
38,262144,354.69
38,524288,728.35
38,1048576,1567.3
40,2,10.63
40,4,10.66
40,8,10.6
40,16,10.63
40,32,11.21
40,64,12.33
40,128,12.57
40,256,16.3
40,512,17.75
40,1024,20.06
40,2048,19.38
40,4096,23.36
40,8192,27.39
40,16384,34.87
40,32768,48.2
40,65536,72.37
40,131072,169.75
40,262144,415.31
40,524288,853.73
40,1048576,1751.56
42,2,11.02
42,4,10.88
42,8,10.78
42,16,10.8
42,32,11.38
42,64,13.05
