Processes,Size,Latency
2,2,1.69
2,4,1.7
2,8,1.7
2,16,1.69
2,32,1.79
2,64,1.85
2,128,1.97
2,256,2.25
2,512,2.4
2,1024,2.79
2,2048,2.62
2,4096,2.98
2,8192,3.79
2,16384,4.5
2,32768,5.31
2,65536,7.4
2,131072,12.62
2,262144,35.04
2,524288,65.96
2,1048576,125.1
4,2,1.98
4,4,1.98
4,8,1.98
4,16,1.98
4,32,2.03
4,64,2.09
4,128,2.18
4,256,2.55
4,512,2.76
4,1024,3.3
4,2048,3.22
4,4096,3.95
4,8192,5.23
4,16384,7.54
4,32768,12.6
4,65536,22.37
4,131072,36.55
4,262144,82.16
4,524288,155.1
4,1048576,305.1
6,2,2.04
6,4,2.08
6,8,2.1
6,16,2.05
6,32,2.14
6,64,2.18
6,128,2.19
6,256,2.62
6,512,2.82
6,1024,3.33
6,2048,3.43
6,4096,4.25
6,8192,5.71
6,16384,9.03
6,32768,15.28
6,65536,28.49
6,131072,53.73
6,262144,121.2
6,524288,240.87
6,1048576,472.33
8,2,2.27
8,4,2.36
8,8,2.29
8,16,2.28
8,32,2.33
8,64,2.46
8,128,2.51
8,256,2.9
8,512,3.21
8,1024,3.84
8,2048,4.13
8,4096,5.87
8,8192,8.29
8,16384,12.94
8,32768,22.55
8,65536,39.97
8,131072,67.43
8,262144,165.27
8,524288,330.44
8,1048576,675.09
10,2,2.14
10,4,2.15
10,8,2.15
10,16,2.17
10,32,2.21
10,64,2.39
10,128,2.52
10,256,2.87
10,512,3.28
10,1024,3.86
10,2048,4.17
10,4096,5.67
10,8192,8.14
10,16384,13.33
10,32768,23.52
10,65536,46.06
10,131072,93.19
10,262144,223.98
10,524288,447.71
10,1048576,919.52
12,2,2.13
12,4,2.08
12,8,2.04
12,16,2.14
12,32,2.19
12,64,2.41
12,128,2.55
12,256,2.93
12,512,3.33
12,1024,3.99
12,2048,4.36
12,4096,5.94
12,8192,9.09
12,16384,15.1
12,32768,27.19
12,65536,54.18
12,131072,100.02
12,262144,256.41
12,524288,514.85
12,1048576,1102.37
14,2,1.91
14,4,1.92
14,8,1.9
14,16,2.08
14,32,2.11
14,64,2.38
14,128,2.43
14,256,2.89
14,512,3.24
14,1024,4.03
14,2048,4.4
14,4096,6.21
14,8192,9.55
14,16384,17.06
14,32768,31.36
14,65536,58.83
14,131072,111.57
14,262144,294.15
14,524288,589.11
14,1048576,1284.03
16,2,2.5
16,4,2.48
16,8,2.51
16,16,2.6
16,32,2.76
16,64,2.81
16,128,2.95
16,256,3.34
16,512,3.94
16,1024,4.82
16,2048,5.49
16,4096,7.84
16,8192,12.34
16,16384,21.54
16,32768,38.96
16,65536,69.46
16,131072,127.57
16,262144,331.39
16,524288,678.67
16,1048576,1441.15
18,2,2.36
18,4,2.34
18,8,2.35
18,16,2.63
18,32,2.5
18,64,2.93
18,128,2.95
18,256,3.39
18,512,3.92
18,1024,4.73
18,2048,5.42
18,4096,7.63
18,8192,11.94
18,16384,20.69
18,32768,37.62
18,65536,70.11
18,131072,149.25
18,262144,381.91
18,524288,769.79
18,1048576,1654.48
20,2,2.25
20,4,2.32
20,8,2.3
20,16,2.49
20,32,2.53
20,64,2.72
20,128,2.87
20,256,3.42
20,512,3.78
20,1024,4.67
20,2048,5.33
20,4096,7.64
20,8192,12.19
20,16384,21.67
20,32768,39.82
20,65536,81.64
20,131072,150.67
20,262144,406.1
20,524288,826.9
20,1048576,1727.29
22,2,2.3
22,4,2.23
22,8,2.26
22,16,2.39
22,32,2.52
22,64,2.87
22,128,3.0
22,256,3.48
22,512,4.96
22,1024,7.58
22,2048,5.3
22,4096,7.51
22,8192,11.95
22,16384,21.18
22,32768,39.56
22,65536,82.32
22,131072,160.31
22,262144,429.88
22,524288,855.82
22,1048576,1823.23
24,2,2.37
24,4,2.5
24,8,2.38
24,16,2.58
24,32,2.67
24,64,3.12
24,128,3.17
24,256,3.67
24,512,4.08
24,1024,4.95
24,2048,5.52
24,4096,7.94
24,8192,12.21
24,16384,22.3
24,32768,43.07
24,65536,83.66
24,131072,159.86
24,262144,446.18
24,524288,907.67
24,1048576,1936.31
26,2,2.28
26,4,2.29
26,8,2.32
26,16,2.45
26,32,2.67
26,64,2.77
26,128,2.88
26,256,3.31
26,512,3.75
26,1024,4.51
26,2048,5.29
26,4096,7.95
26,8192,12.61
26,16384,23.66
26,32768,73.71
26,65536,87.27
26,131072,176.44
26,262144,474.55
26,524288,982.58
26,1048576,2079.79
28,2,2.36
28,4,2.38
28,8,2.39
28,16,2.63
28,32,2.76
28,64,3.08
28,128,3.15
28,256,3.6
28,512,4.09
28,1024,5.0
28,2048,5.67
28,4096,8.34
28,8192,13.71
28,16384,25.93
28,32768,47.91
28,65536,94.94
28,131072,178.5
28,262144,512.1
28,524288,1084.28
28,1048576,2136.2
30,2,2.37
30,4,2.33
30,8,2.49
30,16,2.49
30,32,2.66
30,64,2.8
30,128,3.05
30,256,3.41
30,512,3.91
30,1024,4.75
30,2048,5.83
30,4096,8.69
30,8192,15.1
30,16384,27.32
30,32768,52.2
30,65536,100.44
30,131072,193.5
30,262144,548.04
30,524288,1128.77
30,1048576,2255.44
32,2,2.69
32,4,2.7
32,8,2.73
32,16,3.12
32,32,3.18
32,64,3.46
32,128,3.75
32,256,4.28
32,512,4.83
32,1024,5.68
32,2048,6.93
32,4096,10.05
32,8192,17.1
32,16384,31.74
32,32768,60.2
32,65536,108.89
32,131072,202.11
32,262144,568.47
32,524288,1167.77
32,1048576,4489.67
34,2,2.77
