Processes,Size,Latency
2,2,0.25
2,4,0.26
2,8,0.25
2,16,0.27
2,32,0.27
2,64,0.26
2,128,0.32
2,256,0.33
2,512,0.38
2,1024,0.44
2,2048,0.37
2,4096,0.39
2,8192,0.57
2,16384,0.9
2,32768,1.63
2,65536,3.0
2,131072,5.85
2,262144,29.13
2,524288,56.29
2,1048576,107.34
4,2,0.21
4,4,0.21
4,8,0.23
4,16,0.21
4,32,0.22
4,64,0.24
4,128,0.3
4,256,0.32
4,512,0.34
4,1024,0.4
4,2048,0.5
4,4096,0.66
4,8192,1.04
4,16384,1.83
4,32768,3.14
4,65536,5.58
4,131072,19.7
4,262144,62.51
4,524288,119.44
4,1048576,236.02
6,2,0.33
6,4,0.43
6,8,0.36
6,16,0.37
6,32,0.4
6,64,0.41
6,128,0.48
6,256,0.54
6,512,0.56
6,1024,0.73
6,2048,0.9
6,4096,1.3
6,8192,2.17
6,16384,3.18
6,32768,6.25
6,65536,11.59
6,131072,35.19
6,262144,94.81
6,524288,191.5
6,1048576,408.44
8,2,0.47
8,4,0.46
8,8,0.45
8,16,0.46
8,32,0.5
8,64,0.53
8,128,0.6
8,256,0.67
8,512,0.77
8,1024,0.84
8,2048,1.15
8,4096,1.68
8,8192,2.78
8,16384,4.92
8,32768,9.16
8,65536,21.89
8,131072,50.33
8,262144,143.96
8,524288,279.48
8,1048576,589.11
10,2,0.38
10,4,0.38
10,8,0.38
10,16,0.4
10,32,0.43
10,64,0.47
10,128,0.55
10,256,0.59
10,512,0.68
10,1024,0.79
10,2048,1.08
10,4096,1.61
10,8192,2.81
10,16384,5.23
10,32768,10.07
10,65536,20.15
10,131072,65.79
10,262144,168.14
10,524288,342.94
10,1048576,772.2
12,2,0.37
12,4,0.37
12,8,0.38
12,16,0.38
12,32,0.42
12,64,0.46
12,128,0.56
12,256,0.59
12,512,0.7
12,1024,0.83
12,2048,1.16
12,4096,1.77
12,8192,3.15
12,16384,6.04
12,32768,11.7
