Eseguito con cores=36, threads=1, width=6000.00, height=6000.00, time=1.190860
Eseguito con cores=37, threads=1, width=6082.76, height=6082.76, time=1.196420
Eseguito con cores=38, threads=1, width=6164.41, height=6164.41, time=1.189395
Eseguito con cores=39, threads=1, width=6244.99, height=6244.99, time=1.196496
Eseguito con cores=40, threads=1, width=6324.55, height=6324.55, time=1.190430
Eseguito con cores=41, threads=1, width=6403.12, height=6403.12, time=1.199103
Eseguito con cores=42, threads=1, width=6480.74, height=6480.74, time=1.193845
Eseguito con cores=43, threads=1, width=6557.43, height=6557.43, time=1.196462
Eseguito con cores=44, threads=1, width=6633.24, height=6633.24, time=1.206853
Eseguito con cores=45, threads=1, width=6708.20, height=6708.20, time=1.203987
Eseguito con cores=46, threads=1, width=6782.32, height=6782.32, time=1.196691
Eseguito con cores=47, threads=1, width=6855.65, height=6855.65, time=1.204956
Eseguito con cores=48, threads=1, width=6928.20, height=6928.20, time=1.200944
Eseguito con cores=49, threads=1, width=7000.00, height=7000.00, time=1.216067
Eseguito con cores=50, threads=1, width=7071.06, height=7071.06, time=1.204816
Eseguito con cores=51, threads=1, width=7141.42, height=7141.42, time=1.214137
Eseguito con cores=52, threads=1, width=7211.10, height=7211.10, time=1.213562
Eseguito con cores=53, threads=1, width=7280.10, height=7280.10, time=1.221713
Eseguito con cores=54, threads=1, width=7348.46, height=7348.46, time=1.221055
Eseguito con cores=55, threads=1, width=7416.19, height=7416.19, time=1.236222
Eseguito con cores=56, threads=1, width=7483.31, height=7483.31, time=1.228343
Eseguito con cores=57, threads=1, width=7549.83, height=7549.83, time=1.234093
Eseguito con cores=58, threads=1, width=7615.77, height=7615.77, time=1.233699
Eseguito con cores=59, threads=1, width=7681.14, height=7681.14, time=1.246152
Eseguito con cores=60, threads=1, width=7745.96, height=7745.96, time=1.240291
Eseguito con cores=61, threads=1, width=7810.24, height=7810.24, time=1.259009
Eseguito con cores=62, threads=1, width=7874.00, height=7874.00, time=1.252963
Eseguito con cores=63, threads=1, width=7937.25, height=7937.25, time=1.265554
Eseguito con cores=64, threads=1, width=8000.00, height=8000.00, time=1.261888
Eseguito con cores=65, threads=1, width=8062.25, height=8062.25, time=1.271898
Eseguito con cores=66, threads=1, width=8124.03, height=8124.03, time=1.265455
Eseguito con cores=67, threads=1, width=8185.35, height=8185.35, time=1.267299
Eseguito con cores=68, threads=1, width=8246.21, height=8246.21, time=1.262863
Eseguito con cores=69, threads=1, width=8306.62, height=8306.62, time=1.271063
Eseguito con cores=70, threads=1, width=8366.60, height=8366.60, time=1.274028
Eseguito con cores=71, threads=1, width=8426.14, height=8426.14, time=1.280257
Eseguito con cores=72, threads=1, width=8485.28, height=8485.28, time=1.264560
Eseguito con cores=73, threads=1, width=8544.00, height=8544.00, time=1.274090
Eseguito con cores=74, threads=1, width=8602.32, height=8602.32, time=1.257199
Eseguito con cores=75, threads=1, width=8660.25, height=8660.25, time=1.264860
Eseguito con cores=76, threads=1, width=8717.79, height=8717.79, time=1.263549
Eseguito con cores=77, threads=1, width=8774.96, height=8774.96, time=1.275973
Eseguito con cores=78, threads=1, width=8831.76, height=8831.76, time=1.258889
