cores,threads,width,height,time
213,1,10000,10000,0.655080
214,1,10000,10000,0.663540
215,1,10000,10000,0.661154
216,1,10000,10000,0.635599
217,1,10000,10000,0.639574
218,1,10000,10000,0.652538
219,1,10000,10000,0.641221
220,1,10000,10000,0.625641
221,1,10000,10000,0.627714
222,1,10000,10000,0.627773
223,1,10000,10000,0.630228
224,1,10000,10000,0.627801
225,1,10000,10000,0.617362
226,1,10000,10000,0.614032
227,1,10000,10000,0.612584
228,1,10000,10000,0.614791
229,1,10000,10000,0.609275
230,1,10000,10000,0.597485
231,1,10000,10000,0.604448
232,1,10000,10000,0.606122
233,1,10000,10000,0.609465
234,1,10000,10000,0.596494
235,1,10000,10000,0.604675
236,1,10000,10000,0.591448
237,1,10000,10000,0.590338
238,1,10000,10000,0.591050
239,1,10000,10000,0.594151
240,1,10000,10000,0.589663
241,1,10000,10000,0.587791
242,1,10000,10000,0.574142
243,1,10000,10000,0.578468
244,1,10000,10000,0.577137
245,1,10000,10000,0.580789
246,1,10000,10000,0.590031
247,1,10000,10000,0.566774
248,1,10000,10000,0.560366
249,1,10000,10000,0.577451
250,1,10000,10000,0.575388
251,1,10000,10000,0.582172
252,1,10000,10000,0.586447
253,1,10000,10000,0.577353
254,1,10000,10000,0.575739
255,1,10000,10000,0.577350
256,1,10000,10000,0.578812
