cores,threads,width,height,time
192,1,13856.40,13856.40,1.297079
193,1,13892.44,13892.44,1.303971
194,1,13928.38,13928.38,1.310678
195,1,13964.24,13964.24,1.309069
196,1,14000.00,14000.00,1.297702
197,1,14035.66,14035.66,1.316926
198,1,14071.24,14071.24,1.319517
199,1,14106.73,14106.73,1.319611
200,1,14142.13,14142.13,1.316271
201,1,14177.44,14177.44,1.439637
202,1,14212.67,14212.67,1.304176
203,1,14247.80,14247.80,1.440142
204,1,14282.85,14282.85,1.306376
205,1,14317.82,14317.82,1.326025
206,1,14352.70,14352.70,1.313307
207,1,14387.49,14387.49,1.338705
208,1,14422.20,14422.20,1.316840
209,1,14456.83,14456.83,1.309708
210,1,14491.37,14491.37,1.329870
211,1,14525.83,14525.83,1.354424
212,1,14560.21,14560.21,1.318018
213,1,14594.51,14594.51,1.486627
214,1,14628.73,14628.73,1.305863
215,1,14662.87,14662.87,1.529405
216,1,14696.93,14696.93,1.307119
217,1,14730.91,14730.91,1.326822
218,1,14764.82,14764.82,1.322101
219,1,14798.64,14798.64,1.342966
220,1,14832.39,14832.39,1.320573
221,1,14866.06,14866.06,1.326611
222,1,14899.66,14899.66,1.347526
223,1,14933.18,14933.18,1.353061
224,1,14966.62,14966.62,4.651284
225,1,15000.00,15000.00,1.319980
226,1,15033.29,15033.29,1.572134
227,1,15066.51,15066.51,1.321413
228,1,15099.66,15099.66,1.599446
229,1,15132.74,15132.74,1.332981
230,1,15165.75,15165.75,1.338048
231,1,15198.68,15198.68,1.339259
232,1,15231.54,15231.54,1.381266
233,1,15264.33,15264.33,1.348440
234,1,15297.05,15297.05,1.359391
235,1,15329.70,15329.70,1.354439
236,1,15362.29,15362.29,1.344948
237,1,15394.80,15394.80,1.350252
238,1,15427.24,15427.24,1.400817
239,1,15459.62,15459.62,1.524721
240,1,15491.93,15491.93,1.643402
241,1,15524.17,15524.17,1.320731
242,1,15556.34,15556.34,1.320326
243,1,15588.45,15588.45,1.326476
244,1,15620.49,15620.49,1.324795
245,1,15652.47,15652.47,1.340224
246,1,15684.38,15684.38,1.343753
247,1,15716.23,15716.23,1.347923
248,1,15748.01,15748.01,1.349348
249,1,15779.73,15779.73,1.366563
250,1,15811.38,15811.38,1.387339
251,1,15842.97,15842.97,1.357661
252,1,15874.50,15874.50,1.350672
253,1,15905.97,15905.97,1.418812
254,1,15937.37,15937.37,1.606021
255,1,15968.71,15968.71,1.343093
256,1,16000.00,16000.00,1.348914
