Eseguito con cores=87, threads=1, width=9327.37, height=9327.37, time=1.280120
Eseguito con cores=88, threads=1, width=9380.83, height=9380.83, time=1.285047
Eseguito con cores=89, threads=1, width=9433.98, height=9433.98, time=1.285160
Eseguito con cores=90, threads=1, width=9486.83, height=9486.83, time=1.278314
Eseguito con cores=91, threads=1, width=9539.39, height=9539.39, time=1.288384
Eseguito con cores=92, threads=1, width=9591.66, height=9591.66, time=1.274940
Eseguito con cores=93, threads=1, width=9643.65, height=9643.65, time=1.291437
Eseguito con cores=94, threads=1, width=9695.35, height=9695.35, time=1.276955
Eseguito con cores=95, threads=1, width=9746.79, height=9746.79, time=1.297609
Eseguito con cores=96, threads=1, width=9797.95, height=9797.95, time=1.278676
Eseguito con cores=97, threads=1, width=9848.85, height=9848.85, time=1.298305
Eseguito con cores=98, threads=1, width=9899.49, height=9899.49, time=1.281862
Eseguito con cores=99, threads=1, width=9949.87, height=9949.87, time=1.281663
Eseguito con cores=100, threads=1, width=10000.00, height=10000.00, time=1.290520
Eseguito con cores=101, threads=1, width=10049.87, height=10049.87, time=1.286729
Eseguito con cores=102, threads=1, width=10099.50, height=10099.50, time=1.285341
Eseguito con cores=103, threads=1, width=10148.89, height=10148.89, time=1.304992
Eseguito con cores=104, threads=1, width=10198.03, height=10198.03, time=1.292390
Eseguito con cores=105, threads=1, width=10246.95, height=10246.95, time=1.306316
Eseguito con cores=106, threads=1, width=10295.63, height=10295.63, time=1.290523
Eseguito con cores=107, threads=1, width=10344.08, height=10344.08, time=1.311132
Eseguito con cores=108, threads=1, width=10392.30, height=10392.30, time=1.298762
Eseguito con cores=109, threads=1, width=10440.30, height=10440.30, time=1.308173
Eseguito con cores=110, threads=1, width=10488.08, height=10488.08, time=1.302343
Eseguito con cores=111, threads=1, width=10535.65, height=10535.65, time=1.305805
Eseguito con cores=112, threads=1, width=10583.00, height=10583.00, time=1.294724
Eseguito con cores=113, threads=1, width=10630.14, height=10630.14, time=1.314191
Eseguito con cores=114, threads=1, width=10677.07, height=10677.07, time=1.309218
Eseguito con cores=115, threads=1, width=10723.80, height=10723.80, time=1.303062
Eseguito con cores=116, threads=1, width=10770.32, height=10770.32, time=1.308608
Eseguito con cores=117, threads=1, width=10816.65, height=10816.65, time=1.306603
Eseguito con cores=118, threads=1, width=10862.78, height=10862.78, time=1.306354
Eseguito con cores=119, threads=1, width=10908.71, height=10908.71, time=1.321249
Eseguito con cores=120, threads=1, width=10954.45, height=10954.45, time=1.311558
Eseguito con cores=121, threads=1, width=11000.00, height=11000.00, time=1.320278
Eseguito con cores=122, threads=1, width=11045.36, height=11045.36, time=1.321196
Eseguito con cores=123, threads=1, width=11090.53, height=11090.53, time=1.318307
Eseguito con cores=124, threads=1, width=11135.52, height=11135.52, time=1.320439
Eseguito con cores=125, threads=1, width=11180.33, height=11180.33, time=1.315596
Eseguito con cores=126, threads=1, width=11224.97, height=11224.97, time=1.318377
Eseguito con cores=127, threads=1, width=11269.42, height=11269.42, time=1.324871
Eseguito con cores=128, threads=1, width=11313.70, height=11313.70, time=1.310999
Eseguito con cores=129, threads=1, width=11357.81, height=11357.81, time=1.334350
Eseguito con cores=130, threads=1, width=11401.75, height=11401.75, time=1.335945
Eseguito con cores=131, threads=1, width=11445.52, height=11445.52, time=1.325338
Eseguito con cores=132, threads=1, width=11489.12, height=11489.12, time=1.321930
Eseguito con cores=133, threads=1, width=11532.56, height=11532.56, time=1.339576
Eseguito con cores=134, threads=1, width=11575.83, height=11575.83, time=1.325084
Eseguito con cores=135, threads=1, width=11618.95, height=11618.95, time=1.332993
Eseguito con cores=136, threads=1, width=11661.90, height=11661.90, time=1.329677
Eseguito con cores=137, threads=1, width=11704.69, height=11704.69, time=1.324256
Eseguito con cores=138, threads=1, width=11747.34, height=11747.34, time=1.318936
Eseguito con cores=139, threads=1, width=11789.82, height=11789.82, time=1.331129
Eseguito con cores=140, threads=1, width=11832.15, height=11832.15, time=1.336834
Eseguito con cores=141, threads=1, width=11874.34, height=11874.34, time=1.329655
Eseguito con cores=142, threads=1, width=11916.37, height=11916.37, time=1.639793
Eseguito con cores=143, threads=1, width=11958.26, height=11958.26, time=1.369570
Eseguito con cores=144, threads=1, width=12000.00, height=12000.00, time=1.646258
Eseguito con cores=145, threads=1, width=12041.59, height=12041.59, time=1.326051
Eseguito con cores=146, threads=1, width=12083.04, height=12083.04, time=4.242417
Eseguito con cores=147, threads=1, width=12124.35, height=12124.35, time=1.321293
Eseguito con cores=148, threads=1, width=12165.52, height=12165.52, time=1.334446
Eseguito con cores=149, threads=1, width=12206.55, height=12206.55, time=1.329299
Eseguito con cores=150, threads=1, width=12247.44, height=12247.44, time=1.340387
Eseguito con cores=151, threads=1, width=12288.20, height=12288.20, time=1.319714
Eseguito con cores=152, threads=1, width=12328.82, height=12328.82, time=1.322186
Eseguito con cores=153, threads=1, width=12369.31, height=12369.31, time=1.341034
Eseguito con cores=154, threads=1, width=12409.67, height=12409.67, time=1.354850
Eseguito con cores=155, threads=1, width=12449.89, height=12449.89, time=1.335504
Eseguito con cores=156, threads=1, width=12489.99, height=12489.99, time=1.330362
Eseguito con cores=157, threads=1, width=12529.96, height=12529.96, time=1.341285
Eseguito con cores=158, threads=1, width=12569.80, height=12569.80, time=1.334860
Eseguito con cores=159, threads=1, width=12609.52, height=12609.52, time=1.325061
Eseguito con cores=160, threads=1, width=12649.11, height=12649.11, time=1.328865
Eseguito con cores=161, threads=1, width=12688.57, height=12688.57, time=1.320879
Eseguito con cores=162, threads=1, width=12727.92, height=12727.92, time=1.376234
Eseguito con cores=163, threads=1, width=12767.14, height=12767.14, time=1.353833
Eseguito con cores=164, threads=1, width=12806.24, height=12806.24, time=1.319266
Eseguito con cores=165, threads=1, width=12845.23, height=12845.23, time=1.337268
Eseguito con cores=166, threads=1, width=12884.09, height=12884.09, time=1.329584
Eseguito con cores=167, threads=1, width=12922.84, height=12922.84, time=1.316947
Eseguito con cores=168, threads=1, width=12961.48, height=12961.48, time=1.335075
Eseguito con cores=169, threads=1, width=13000.00, height=13000.00, time=1.323096
Eseguito con cores=170, threads=1, width=13038.40, height=13038.40, time=1.398386
Eseguito con cores=171, threads=1, width=13076.69, height=13076.69, time=1.304484
Eseguito con cores=172, threads=1, width=13114.87, height=13114.87, time=1.396780
Eseguito con cores=173, threads=1, width=13152.94, height=13152.94, time=1.320507
Eseguito con cores=174, threads=1, width=13190.90, height=13190.90, time=1.332865
Eseguito con cores=175, threads=1, width=13228.75, height=13228.75, time=1.329434
Eseguito con cores=176, threads=1, width=13266.49, height=13266.49, time=1.325795
Eseguito con cores=177, threads=1, width=13304.13, height=13304.13, time=1.320873
Eseguito con cores=178, threads=1, width=13341.66, height=13341.66, time=1.344187
Eseguito con cores=179, threads=1, width=13379.08, height=13379.08, time=1.428486
Eseguito con cores=180, threads=1, width=13416.40, height=13416.40, time=1.328436
Eseguito con cores=181, threads=1, width=13453.62, height=13453.62, time=1.387092
Eseguito con cores=182, threads=1, width=13490.73, height=13490.73, time=1.322154
Eseguito con cores=183, threads=1, width=13527.74, height=13527.74, time=1.330801
Eseguito con cores=184, threads=1, width=13564.65, height=13564.65, time=1.333150
Eseguito con cores=185, threads=1, width=13601.47, height=13601.47, time=1.347706
Eseguito con cores=186, threads=1, width=13638.18, height=13638.18, time=1.332187
Eseguito con cores=187, threads=1, width=13674.79, height=13674.79, time=1.330245
Eseguito con cores=188, threads=1, width=13711.30, height=13711.30, time=1.370295
Eseguito con cores=189, threads=1, width=13747.72, height=13747.72, time=1.453760
Eseguito con cores=190, threads=1, width=13784.04, height=13784.04, time=1.328045
Eseguito con cores=191, threads=1, width=13820.27, height=13820.27, time=1.313400
Eseguito con cores=192, threads=1, width=13856.40, height=13856.40, time=1.319892
Eseguito con cores=193, threads=1, width=13892.44, height=13892.44, time=1.325719
Eseguito con cores=194, threads=1, width=13928.38, height=13928.38, time=1.333380
Eseguito con cores=195, threads=1, width=13964.24, height=13964.24, time=1.334430
Eseguito con cores=196, threads=1, width=14000.00, height=14000.00, time=1.319893
Eseguito con cores=197, threads=1, width=14035.66, height=14035.66, time=1.347662
Eseguito con cores=198, threads=1, width=14071.24, height=14071.24, time=1.359828
Eseguito con cores=199, threads=1, width=14106.73, height=14106.73, time=1.342299
Eseguito con cores=200, threads=1, width=14142.13, height=14142.13, time=1.346453
