Eseguito con cores=97, threads=1, width=10000, height=10000, time=1.292638
Eseguito con cores=98, threads=1, width=10000, height=10000, time=1.272690
Eseguito con cores=99, threads=1, width=10000, height=10000, time=1.276616
Eseguito con cores=100, threads=1, width=10000, height=10000, time=1.252491
Eseguito con cores=101, threads=1, width=10000, height=10000, time=1.255217
Eseguito con cores=102, threads=1, width=10000, height=10000, time=1.232044
Eseguito con cores=103, threads=1, width=10000, height=10000, time=1.228119
Eseguito con cores=104, threads=1, width=10000, height=10000, time=1.211035
Eseguito con cores=105, threads=1, width=10000, height=10000, time=1.212303
Eseguito con cores=106, threads=1, width=10000, height=10000, time=1.196987
Eseguito con cores=107, threads=1, width=10000, height=10000, time=1.184357
Eseguito con cores=108, threads=1, width=10000, height=10000, time=1.192602
Eseguito con cores=109, threads=1, width=10000, height=10000, time=1.179629
Eseguito con cores=110, threads=1, width=10000, height=10000, time=1.209857
Eseguito con cores=111, threads=1, width=10000, height=10000, time=1.161001
Eseguito con cores=112, threads=1, width=10000, height=10000, time=1.156270
Eseguito con cores=113, threads=1, width=10000, height=10000, time=1.136015
Eseguito con cores=114, threads=1, width=10000, height=10000, time=1.136922
Eseguito con cores=115, threads=1, width=10000, height=10000, time=1.133535
Eseguito con cores=116, threads=1, width=10000, height=10000, time=1.121208
Eseguito con cores=117, threads=1, width=10000, height=10000, time=1.106666
Eseguito con cores=118, threads=1, width=10000, height=10000, time=1.101965
Eseguito con cores=119, threads=1, width=10000, height=10000, time=1.097278
Eseguito con cores=120, threads=1, width=10000, height=10000, time=1.083287
Eseguito con cores=121, threads=1, width=10000, height=10000, time=1.093974
Eseguito con cores=122, threads=1, width=10000, height=10000, time=1.076714
Eseguito con cores=123, threads=1, width=10000, height=10000, time=1.072909
Eseguito con cores=124, threads=1, width=10000, height=10000, time=1.072226
Eseguito con cores=125, threads=1, width=10000, height=10000, time=1.059354
Eseguito con cores=126, threads=1, width=10000, height=10000, time=1.057308
Eseguito con cores=127, threads=1, width=10000, height=10000, time=1.058228
Eseguito con cores=128, threads=1, width=10000, height=10000, time=1.041901
Eseguito con cores=129, threads=1, width=10000, height=10000, time=1.035902
Eseguito con cores=130, threads=1, width=10000, height=10000, time=1.017915
Eseguito con cores=131, threads=1, width=10000, height=10000, time=1.007361
Eseguito con cores=132, threads=1, width=10000, height=10000, time=1.011275
Eseguito con cores=133, threads=1, width=10000, height=10000, time=1.004021
